--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/10/2010 a 01/10/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
﻿Data;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia
28/02/2014;5;2.346429;5.8;88.6;102.735204;102.735204;182.6;6.369048;110.2;912.427381;28.621429;22.684286;18.685714;76.4375
31/03/2014;5;2.249462;5;67.2;90.511807;90.511807;165.3;7.666667;232;912.653763;25.754839;20.406452;17.103226;81.620968
30/04/2014;5;1.962222;4.8;46.9;67.503547;67.503547;104.5;8.288889;81;914.25;23.213333;18.229333;15.426667;85.15
31/05/2014;5;1.915054;7.6;54.1;53.430133;53.430133;137.8;7.731183;87.1;914.316129;21.019355;15.950968;12.86129;83.693548
30/06/2014;5;2.215556;6.5;43.7;45.388328;45.388328;124;7.766667;210.4;915.023333;20.313333;15166;12.166667;83.833333
31/07/2014;5;1.996774;6.8;55.4;40.771256;40.771256;150.4;6.612903;49;917.751613;19.574194;13.91871;10.274194;81.766129
31/08/2014;5;2.092473;7.1;91.3;52.73117;52.73117;212.3;4.83871;62.7;916.136559;22.867742;15.77871;10.616129;74.201613
30/09/2014;9;2.567778;6.6;68.6;63.00572;63.00572;145.5;7.133333;176.4;914.241111;23.006667;17.143333;13.66;81.408333
31/10/2014;5;2.517204;5;89.7;82.865554;82.865554;175.5;7.365591;116.8;914.492473;26.022581;19.020645;14.654839;75.169355
30/11/2014;5;2.54;5;74.6;87.4163;87.4163;151.7;7.633333;203.2;911.834444;25.203333;19362;15.89;79.633333
31/12/2014;5;2.598925;6.3;76.7;106.722561;106.722561;155;8.021505;155.6;911.494624;26.916129;21.170323;17.296774;78.677419
31/01/2015;27;2.449462;7.5;94.1;121.351602;121.351602;193;8;180.5;912.830108;29.080645;22.883871;18.954839;76.120968
28/02/2015;5;2.079762;4.6;60.1;94.372721;94.372721;140.8;8.238095;243.1;911.722619;27.2;21.441429;18.2;81.285714
31/03/2015;5;1.872043;4;54.9;90.511807;90.511807;127.9;7.989247;193.7;912.521505;25.587097;20.329677;17.383871;82.943548
30/04/2015;9;1.843333;5;56.6;68.135869;66.930955;151.1;7.566667;52.2;913.767778;24.033333;18.368667;15.06;81.916667
31/05/2015;5;1.9;4.6;43.4;52.305685;52.305685;123;7.860215;115.1;915.274194;20.619355;15.979355;13.367742;85.798387
30/06/2015;5;2.0375;7.1;56.4;43.874605;43.874605;162.3;6.522222;82.2;917.068889;21.056667;14.895333;10.7;81.066667
31/07/2015;27;1.912903;5.6;50.3;46.412583;46.412583;122.1;7.11828;189.5;915.206452;19.864516;14.956129;11.596774;83.975806
31/08/2015;5;2.203226;7.1;86.6;62.811833;56.796471;229.8;5.354839;26;915.805376;24.548387;17.402581;12.335484;73.725806
30/09/2015;5;2.371806;7.20216;;70.713031;70.713031;165;6.551724;129.7;911.993103;24.913793;18.102759;14.316667;79.4
